product_name,link,product_images,price,details,category,gender
STRAPPY CYCLING CULOTTES,https://www.zara.com/in/en/strappy-cycling-culottes-p02966303.html,https://static.zara.net/photos///2023/I/0/2/p/2966/303/406/2/w/448/2966303406_1_1_1.jpg?ts=1684496239912,134.26,"Culottes made of highly stretchy fabric. - Elastic straps for freedom of movement- Flatlock anti-abrasion seams.- Ergonomic bikepad made of quick-drying bacteriostatic fabric, suitable for training for any type of distance.- Differentiated bikepad filling to relieve pressure: the central foam is 80.6 mm thick and perforated for  better ventilation, while the inserts are 4mm thick and allow for a wide position range on the bike.- Reflective-effect appliqués on the legs.Zara Athleticz.View more",ZARA ATHLETICZ,men
CAP,https://www.zara.com/in/en/cap-p02966306.html,https://static.zara.net/photos///2023/I/0/2/p/2966/306/001/2/w/448/2966306001_6_1_1.jpg?ts=1684420908929,26.46,"Cap made of stretchy, breathable fabric. Secure fit with inner elastic band.Zara Athleticz.",ZARA ATHLETICZ,men
TANK TOP WITH SLOGAN,https://www.zara.com/in/en/tank-top-with-slogan-p06224340.html,https://static.zara.net/photos///2023/I/0/2/p/6224/340/832/2/w/448/6224340832_1_1_1.jpg?ts=1688986167285,27.86,Loose-fitting tank top made of cotton. Round neck. Contrast slogan print on the front.Zara Athleticz.,ZARA ATHLETICZ,men
T-SHIRT WITH A PASSO STELVIO PRINT,https://www.zara.com/in/en/t-shirt-with-a-passo-stelvio-print-p01501404.html,https://static.zara.net/photos///2023/I/0/2/p/1501/404/406/2/w/448/1501404406_1_1_1.jpg?ts=1684491174922,32.06,T-shirt made of stretchy cotton fabric. Round neck and short sleeves. Contrast graphic prints on the front and back.Zara Athleticz.,ZARA ATHLETICZ,men
TECHNICAL BUCKET HAT,https://www.zara.com/in/en/technical-bucket-hat-p05875400.html,https://static.zara.net/photos///2023/I/0/2/p/5875/400/700/2/w/448/5875400700_1_1_1.jpg?ts=1687950698709,32.06,Hat made of lightweight technical fabric. Featuring a wide brim with topstitching detail and adjustable chin tie.Zara Athleticz.,ZARA ATHLETICZ,men
GEOMETRIC PRINT SWIMMING TRUNKS,https://www.zara.com/in/en/geometric-print-swimming-trunks-p02634306.html,https://static.zara.net/photos///2023/I/0/2/p/2634/306/401/2/w/448/2634306401_1_1_1.jpg?ts=1689157213064,41.86,Swimming trunks made of technical fabric with a velvety finish. Elasticated waistband with drawstrings. Front pockets and pocket detail at the waist. Rear welt pocket. Lining. Includes a bag in the same fabric.Length of inner leg seam: 13 cm. / 5.1″Length of outer leg seam: 36 cm. / 14.1″View more,SWIMWEAR,men
BASIC SWIMMING TRUNKS,https://www.zara.com/in/en/basic-swimming-trunks-p02634305.html,https://static.zara.net/photos///2023/I/0/2/p/2634/305/403/2/w/448/2634305403_1_1_1.jpg?ts=1687346680726,32.06,Swimming trunks made of a technical fabric. Elasticated waistband and adjustable drawstrings. Side pockets and a back patch pocket. Lining.Length of inner leg seam: 11 cm. / 4.3″Length of outer leg seam: 31 cm. / 12.2″View more,SWIMWEAR,men
LONG CARGO SWIMMING TRUNKS,https://www.zara.com/in/en/long-cargo-swimming-trunks-p08574371.html,https://static.zara.net/photos///2023/I/0/2/p/8574/371/400/2/w/448/8574371400_6_1_1.jpg?ts=1692790056945,36.26,Swimming trunks made of a velvety-finish technical fabric. Elasticated waistband and adjustable drawstring. Front pockets and a rear pocket. Patch pocket appliqué with a flap on the leg. Lining. Length of inner leg seam: 17 cm. / 6.6″Length of outer leg seam: 41 cm. / 16.1″View more,SWIMWEAR,men
STRIPE PRINT SWIMMING TRUNKS,https://www.zara.com/in/en/stripe-print-swimming-trunks-p08574426.html,https://static.zara.net/photos///2023/I/0/2/p/8574/426/555/2/w/448/8574426555_6_1_1.jpg?ts=1692790057286,36.26,Swimming trunks made of a technical fabric. Elasticated waistband and adjustable drawstring. Side pockets and a rear pocket. Lining.Length of inner leg seam: 12 cm. / 4.7″Length of outer leg seam: 36 cm. / 14.1″View more,SWIMWEAR,men
STRIPE PRINT SWIMMING TRUNKS,https://www.zara.com/in/en/stripe-print-swimming-trunks-p00495321.html,https://static.zara.net/photos///2023/I/0/2/p/0495/321/712/2/w/448/0495321712_6_1_1.jpg?ts=1690976519493,36.26,Swimming trunks made of a technical fabric. Elasticated waistband and adjustable drawstring. Side pockets and a rear patch pocket. Lining.Length of inner leg seam: 12 cm. / 4.7″Length of outer leg seam: 33 cm. / 12.9″View more,SWIMWEAR,men
